Form,Number,Case,Gender,Type,Primary
τά,dual,accusative,feminine,regular,primary
τώ,dual,accusative,feminine,regular,primary
ταῖν,dual,dative,feminine,regular,primary
τοῖν,dual,dative,feminine,regular,primary
ταῖν,dual,genitive,feminine,regular,primary
τοῖν,dual,genitive,feminine,regular,primary
τά,dual,nominative,feminine,regular,primary
τώ,dual,nominative,feminine,regular,primary
τώ,dual,accusative,masculine,regular,primary
τοῖν,dual,dative,masculine,regular,primary
τοῖν,dual,genitive,masculine,regular,primary
τώ,dual,nominative,masculine,regular,primary
τώ,dual,accusative,neuter,regular,primary
τοῖν,dual,dative,neuter,regular,primary
τοῖν,dual,genitive,neuter,regular,primary
τώ,dual,nominative,neuter,regular,primary
τάς,plural,accusative,feminine,regular,primary
ταῖς,plural,dative,feminine,regular,primary
τῶν,plural,genitive,feminine,regular,primary
αἱ,plural,nominative,feminine,regular,primary
τούς,plural,accusative,masculine,regular,primary
τοῖς,plural,dative,masculine,regular,primary
τῶν,plural,genitive,masculine,regular,primary
οἱ,plural,nominative,masculine,regular,primary
τά,plural,accusative,neuter,regular,primary
τοῖς,plural,dative,neuter,regular,primary
τῶν,plural,genitive,neuter,regular,primary
τά,plural,nominative,neuter,regular,primary
τήν,singular,accusative,feminine,regular,primary
τῇ,singular,dative,feminine,regular,primary
τῆς,singular,genitive,feminine,regular,primary
ἡ,singular,nominative,feminine,regular,primary
τόν,singular,accusative,masculine,regular,primary
τῷ,singular,dative,masculine,regular,primary
τοῦ,singular,genitive,masculine,regular,primary
ὁ,singular,nominative,masculine,regular,primary
τό,singular,accusative,neuter,regular,primary
τῷ,singular,dative,neuter,regular,primary
τοῦ,singular,genitive,neuter,regular,primary
τό,singular,nominative,neuter,regular,primary