Form,Headword,Number,Case,Gender,Type,Primary,Footnote
δύο,δύο (2),dual,accusative,masculine feminine neuter,regular,primary,3
δυοῖν,δύο (2),dual,dative,masculine feminine neuter,regular,primary,2 3
δυοῖν,δύο (2),dual,genitive,masculine feminine neuter,regular,primary,2 3
δύο,δύο (2),dual,nominative,masculine feminine neuter,regular,primary,
μίαν,εἱς - μία - ἑν (1),singular,accusative,feminine,regular,primary,
μιᾷ,εἱς - μία - ἑν (1),singular,dative,feminine,regular,primary,
μιᾶς,εἱς - μία - ἑν (1),singular,genitive,feminine,regular,primary,
μία,εἱς - μία - ἑν (1),singular,nominative,feminine,regular,primary,
ἕνα,εἱς - μία - ἑν (1),singular,accusative,masculine,regular,primary,
ἑνί,εἱς - μία - ἑν (1),singular,dative,masculine,regular,primary,
ἑνός,εἱς - μία - ἑν (1),singular,genitive,masculine,regular,primary,
εἷς,εἱς - μία - ἑν (1),singular,nominative,masculine,regular,primary,
ἕν,εἱς - μία - ἑν (1),singular,accusative,neuter,regular,primary,
ἑνί,εἱς - μία - ἑν (1),singular,dative,neuter,regular,primary,
ἑνός,εἱς - μία - ἑν (1),singular,genitive,neuter,regular,primary,
ἑν,εἱς - μία - ἑν (1),singular,nominative,neuter,regular,primary,
τέτταρας,τέτταρες - τέτταρα (4),plural,accusative,masculine feminine,regular,primary,
τέτταρσι,τέτταρες - τέτταρα (4),plural,dative,masculine feminine,regular,primary,
τέτταρσιν,τέτταρες - τέτταρα (4),plural,dative,masculine feminine,regular,primary,
τεττάρων,τέτταρες - τέτταρα (4),plural,genitive,masculine feminine,regular,primary,
τέτταρες,τέτταρες - τέτταρα (4),plural,nominative,masculine feminine,regular,primary,
τέτταρα,τέτταρες - τέτταρα (4),plural,accusative,neuter,regular,primary,
τέτταρσι,τέτταρες - τέτταρα (4),plural,dative,neuter,regular,primary,
τέτταρσιν,τέτταρες - τέτταρα (4),plural,dative,neuter,regular,primary,
τεττάρων,τέτταρες - τέτταρα (4),plural,genitive,neuter,regular,primary,
τέτταρα,τέτταρες - τέτταρα (4),plural,nominative,neuter,regular,primary,
τρεῖς,τρεῖς - τρία (3),plural,accusative,masculine feminine,regular,primary,
τρισί,τρεῖς - τρία (3),plural,dative,masculine feminine,regular,primary,
τρισίν,τρεῖς - τρία (3),plural,dative,masculine feminine,regular,primary,
τριῶν,τρεῖς - τρία (3),plural,genitive,masculine feminine,regular,primary,
τρεῖς,τρεῖς - τρία (3),plural,nominative,masculine feminine,regular,primary,
τρία,τρεῖς - τρία (3),plural,accusative,neuter,regular,primary,
τρισί,τρεῖς - τρία (3),plural,dative,neuter,regular,primary,
τρισίν,τρεῖς - τρία (3),plural,dative,neuter,regular,primary,
τριῶν,τρεῖς - τρία (3),plural,genitive,neuter,regular,primary,
τρία,τρεῖς - τρία (3),plural,nominative,neuter,regular,primary,